date,home,away,home_score,away_score,odds_home,odds_draw,odds_away,bookmaker,source
2018-06-14,Russia,Saudi Arabia,5,0,1.46,4.34,9.07,Average,mrthlinh/database_matches
2018-06-15,Egypt,Uruguay,0,1,8.44,4.09,1.51,Average,mrthlinh/database_matches
2018-06-15,Morocco,Iran,0,1,2.23,2.98,4.17,Average,mrthlinh/database_matches
2018-06-15,Portugal,Spain,3,3,4.38,3.27,2.04,Average,mrthlinh/database_matches
2018-06-16,France,Australia,2,1,1.27,7.23,10.44,Average,mrthlinh/database_matches
2018-06-16,Argentina,Iceland,1,1,1.33,5.41,11.34,Average,mrthlinh/database_matches
2018-06-16,Peru,Denmark,0,1,3.71,3.11,2.31,Average,mrthlinh/database_matches
2018-06-16,Croatia,Nigeria,2,0,1.68,3.79,6.14,Average,mrthlinh/database_matches
2018-06-17,Costa Rica,Serbia,0,1,5.36,3.43,1.84,Average,mrthlinh/database_matches
2018-06-17,Germany,Mexico,0,1,1.49,4.58,7.24,Average,mrthlinh/database_matches
2018-06-17,Brazil,Switzerland,1,1,1.48,4.43,8.11,Average,mrthlinh/database_matches
2018-06-18,Tunisia,England,1,2,8.55,4.23,1.49,Average,mrthlinh/database_matches
2018-06-18,Sweden,South Korea,1,0,2.27,3.04,3.93,Average,mrthlinh/database_matches
2018-06-18,Belgium,Panama,3,0,1.22,6.77,17.62,Average,mrthlinh/database_matches
2018-06-19,Colombia,Japan,1,2,1.89,3.34,5.11,Average,mrthlinh/database_matches
2018-06-19,Poland,Senegal,1,2,2.52,3.06,3.33,Average,mrthlinh/database_matches
2018-06-19,Russia,Egypt,3,1,1.95,3.57,4.3,Average,mrthlinh/database_matches
2018-06-20,Portugal,Morocco,1,0,1.7,3.7,6.04,Average,mrthlinh/database_matches
2018-06-20,Uruguay,Saudi Arabia,1,0,1.22,6.73,18.0,Average,mrthlinh/database_matches
2018-06-20,Iran,Spain,0,1,19.32,6.86,1.21,Average,mrthlinh/database_matches
2018-06-21,Argentina,Croatia,0,3,2.08,3.29,4.12,Average,mrthlinh/database_matches
2018-06-21,Denmark,Australia,1,1,1.91,3.44,4.69,Average,mrthlinh/database_matches
2018-06-21,France,Peru,1,0,1.61,3.87,6.61,Average,mrthlinh/database_matches
2018-06-22,Serbia,Switzerland,1,2,2.75,3.04,2.96,Average,mrthlinh/database_matches
2018-06-22,Brazil,Costa Rica,2,0,1.21,6.71,19.17,Average,mrthlinh/database_matches
2018-06-22,Nigeria,Iceland,2,0,2.99,3.1,2.72,Average,mrthlinh/database_matches
2018-06-23,Belgium,Tunisia,5,2,1.33,5.19,12.04,Average,mrthlinh/database_matches
2018-06-23,South Korea,Mexico,1,2,5.73,3.81,1.7,Average,mrthlinh/database_matches
2018-06-23,Germany,Sweden,2,1,1.47,4.66,7.64,Average,mrthlinh/database_matches
2018-06-24,England,Panama,6,1,1.22,6.48,18.73,Average,mrthlinh/database_matches
2018-06-24,Japan,Senegal,2,2,3.21,2.99,2.65,Average,mrthlinh/database_matches
2018-06-24,Poland,Colombia,0,3,3.49,3.46,2.21,Average,mrthlinh/database_matches
2018-06-25,Spain,Morocco,2,2,1.36,5.17,10.27,Average,mrthlinh/database_matches
2018-06-25,Russia,Uruguay,0,3,2.93,3.08,2.77,Average,mrthlinh/database_matches
2018-06-25,Saudi Arabia,Egypt,2,1,5.45,3.63,1.77,Average,mrthlinh/database_matches
2018-06-25,Iran,Portugal,1,1,6.39,4.09,1.6,Average,mrthlinh/database_matches
2018-06-26,Iceland,Croatia,1,2,4.41,3.99,1.83,Average,mrthlinh/database_matches
2018-06-26,Nigeria,Argentina,1,2,5.99,5.26,1.5,Average,mrthlinh/database_matches
2018-06-26,Australia,Peru,0,2,2.93,3.54,2.49,Average,mrthlinh/database_matches
2018-06-26,Denmark,France,0,0,5.34,2.81,2.06,Average,mrthlinh/database_matches
2018-06-27,Switzerland,Costa Rica,2,2,1.6,3.7,7.63,Average,mrthlinh/database_matches
2018-06-27,South Korea,Germany,2,0,19.37,8.4,1.17,Average,mrthlinh/database_matches
2018-06-27,Mexico,Sweden,0,3,2.21,3.4,3.59,Average,mrthlinh/database_matches
2018-06-27,Serbia,Brazil,0,2,7.61,4.68,1.47,Average,mrthlinh/database_matches
2018-06-28,Senegal,Colombia,0,1,5.19,3.82,1.76,Average,mrthlinh/database_matches
2018-06-28,Panama,Tunisia,1,2,4.37,3.78,1.88,Average,mrthlinh/database_matches
2018-06-28,Japan,Poland,0,1,2.95,3.15,2.71,Average,mrthlinh/database_matches
2018-06-28,England,Belgium,0,1,2.47,2.84,3.72,Average,mrthlinh/database_matches
