date,home,away,home_score,away_score,odds_home,odds_draw,odds_away,bookmaker,source
2010-06-25,Chile,Spain,1,2,6.89,4.15,1.5,Average,mrthlinh/database_matches
2010-06-25,North Korea,Ivory Coast,0,3,9.35,4.99,1.35,Average,mrthlinh/database_matches
2010-06-26,Uruguay,South Korea,2,1,1.84,3.33,4.9,Average,mrthlinh/database_matches
2010-06-26,United States,Ghana,1,2,2.41,3.1,3.22,Average,mrthlinh/database_matches
2010-06-27,Argentina,Mexico,3,1,1.61,3.73,6.24,Average,mrthlinh/database_matches
2010-06-27,Germany,England,4,1,2.96,3.06,2.6,Average,mrthlinh/database_matches
2010-06-28,Brazil,Chile,3,0,1.52,3.82,6.99,Average,mrthlinh/database_matches
2010-06-28,Netherlands,Slovakia,2,1,1.39,4.5,9.63,Average,mrthlinh/database_matches
2010-06-29,Paraguay,Japan,0,0,2.2,3.17,3.6,Average,mrthlinh/database_matches
2010-06-29,Spain,Portugal,1,0,2.0,3.23,4.19,Average,mrthlinh/database_matches
2010-07-02,Netherlands,Brazil,2,1,4.09,3.27,2.0,Average,mrthlinh/database_matches
2010-07-02,Uruguay,Ghana,1,1,1.86,3.37,4.51,Average,mrthlinh/database_matches
2010-07-03,Argentina,Germany,0,4,2.31,3.29,3.19,Average,mrthlinh/database_matches
2010-07-03,Paraguay,Spain,0,1,9.0,4.26,1.42,Average,mrthlinh/database_matches
2010-07-06,Uruguay,Netherlands,2,3,5.68,3.54,1.69,Average,mrthlinh/database_matches
2010-07-07,Germany,Spain,0,1,2.81,3.38,2.52,Average,mrthlinh/database_matches
2010-07-10,Uruguay,Germany,2,3,3.86,3.67,1.93,Average,mrthlinh/database_matches
2010-07-11,Netherlands,Spain,0,1,3.9,3.38,2.02,Average,mrthlinh/database_matches
