date,home,away,home_score,away_score,odds_home,odds_draw,odds_away,bookmaker,source
2010-06-11,South Africa,Mexico,1,1,2.96,3.13,2.56,Average,mrthlinh/database_matches
2010-06-11,Uruguay,France,0,0,3.57,3.15,2.21,Average,mrthlinh/database_matches
2010-06-12,Argentina,Nigeria,1,0,1.39,4.58,8.96,Average,mrthlinh/database_matches
2010-06-12,England,United States,1,1,1.51,4.12,7.0,Average,mrthlinh/database_matches
2010-06-12,South Korea,Greece,2,0,2.72,3.0,2.87,Average,mrthlinh/database_matches
2010-06-13,Algeria,Slovenia,0,1,3.73,3.14,2.12,Average,mrthlinh/database_matches
2010-06-13,Germany,Australia,4,0,1.52,3.89,7.34,Average,mrthlinh/database_matches
2010-06-13,Serbia,Ghana,0,1,2.0,3.22,4.07,Average,mrthlinh/database_matches
2010-06-14,Italy,Paraguay,1,1,2.18,3.04,3.82,Average,mrthlinh/database_matches
2010-06-14,Japan,Cameroon,1,0,3.66,3.12,2.19,Average,mrthlinh/database_matches
2010-06-14,Netherlands,Denmark,2,0,1.51,4.0,7.3,Average,mrthlinh/database_matches
2010-06-15,Brazil,North Korea,2,1,1.1,9.61,32.67,Average,mrthlinh/database_matches
2010-06-15,Ivory Coast,Portugal,0,0,3.96,3.2,2.06,Average,mrthlinh/database_matches
2010-06-15,New Zealand,Slovakia,1,1,7.65,3.94,1.5,Average,mrthlinh/database_matches
2010-06-16,Spain,Switzerland,0,1,1.27,5.3,14.32,Average,mrthlinh/database_matches
2010-06-16,Honduras,Chile,0,1,5.8,3.46,1.7,Average,mrthlinh/database_matches
2010-06-16,South Africa,Uruguay,0,3,3.37,3.02,2.38,Average,mrthlinh/database_matches
2010-06-17,Argentina,South Korea,4,1,1.51,3.87,7.59,Average,mrthlinh/database_matches
2010-06-17,France,Mexico,0,2,2.08,3.15,3.95,Average,mrthlinh/database_matches
2010-06-17,Greece,Nigeria,2,1,3.79,3.18,2.12,Average,mrthlinh/database_matches
2010-06-18,England,Algeria,0,0,1.23,5.88,15.93,Average,mrthlinh/database_matches
2010-06-18,Germany,Serbia,0,1,1.64,3.65,5.74,Average,mrthlinh/database_matches
2010-06-18,Slovenia,United States,2,2,3.75,3.21,2.12,Average,mrthlinh/database_matches
2010-06-19,Cameroon,Denmark,1,2,2.88,3.2,2.56,Average,mrthlinh/database_matches
2010-06-19,Ghana,Australia,1,1,2.37,3.15,3.23,Average,mrthlinh/database_matches
2010-06-19,Netherlands,Japan,1,0,1.44,4.16,8.94,Average,mrthlinh/database_matches
2010-06-20,Slovakia,Paraguay,0,2,3.87,3.24,2.06,Average,mrthlinh/database_matches
2010-06-20,Brazil,Ivory Coast,3,1,1.73,3.48,5.42,Average,mrthlinh/database_matches
2010-06-20,Italy,New Zealand,1,1,1.22,5.88,16.73,Average,mrthlinh/database_matches
2010-06-21,Portugal,North Korea,7,0,1.37,4.48,10.32,Average,mrthlinh/database_matches
2010-06-21,Spain,Honduras,2,0,1.11,8.77,24.25,Average,mrthlinh/database_matches
2010-06-21,Chile,Switzerland,1,0,2.17,3.18,3.67,Average,mrthlinh/database_matches
2010-06-22,Greece,Argentina,0,2,7.35,4.24,1.48,Average,mrthlinh/database_matches
2010-06-22,Mexico,Uruguay,0,1,3.74,1.96,3.65,Average,mrthlinh/database_matches
2010-06-22,Nigeria,South Korea,2,2,2.92,3.29,2.47,Average,mrthlinh/database_matches
2010-06-22,South Africa,France,2,1,3.54,3.48,2.08,Average,mrthlinh/database_matches
2010-06-23,Australia,Serbia,2,1,4.46,3.59,1.83,Average,mrthlinh/database_matches
2010-06-23,Ghana,Germany,0,1,7.8,4.34,1.45,Average,mrthlinh/database_matches
2010-06-23,Slovenia,England,0,1,8.07,4.3,1.45,Average,mrthlinh/database_matches
2010-06-23,United States,Algeria,1,0,1.87,3.6,4.22,Average,mrthlinh/database_matches
2010-06-24,Cameroon,Netherlands,1,2,5.53,3.81,1.65,Average,mrthlinh/database_matches
2010-06-24,Denmark,Japan,1,3,2.25,3.23,3.37,Average,mrthlinh/database_matches
2010-06-24,Paraguay,New Zealand,0,0,1.39,4.48,9.52,Average,mrthlinh/database_matches
2010-06-24,Slovakia,Italy,3,2,6.97,3.84,1.55,Average,mrthlinh/database_matches
2010-06-25,Switzerland,Honduras,0,0,1.55,4.01,6.62,Average,mrthlinh/database_matches
2010-06-25,Portugal,Brazil,0,0,3.5,2.92,2.38,Average,mrthlinh/database_matches
